mac,index,record,temp_c,humidity_rh,raw_hex,timestamp_inferred
f4:db:00:00:00:d9,0,0,24.0625,59.25,07000000000381017b017901b403bc03cb030000,
f4:db:00:00:00:d9,1,1,23.6875,59.75,07000000000381017b017901b403bc03cb030000,
