file,rec,timestamp,mac,target,event,rssi,ad_hex,name,uuids16,mfg_hex,mfg_company
old/hci_snoop_2018_01_01_12_06_26.cfa,1652,2018-01-01T12:07:59.228Z,62:53:00:00:0f:1f,no,ADV_IND,-78,02 01 06 03 02 F0 FF 15 FF 11 00 00 00 1F 0F 00 00 53 62 88 0B 45 01 23 05 D0 B3 05 00,,FFF0,11 00 00 00 1F 0F 00 00 53 62 88 0B 45 01 23 05 D0 B3 05 00,0x0011
old/hci_snoop_2018_01_01_12_06_26.cfa,1659,2018-01-01T12:07:59.586Z,f4:d0:00:00:02:1a,no,ADV_IND,-69,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 AB FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 AB FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,1753,2018-01-01T12:08:03.497Z,f4:db:00:00:02:37,no,ADV_IND,-89,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 D7 0B 36 01 C4 04 7F 73 05 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D7 0B 36 01 C4 04 7F 73 05 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,1769,2018-01-01T12:08:04.310Z,62:53:00:00:0f:1f,no,ADV_IND,-78,02 01 06 03 02 F0 FF 15 FF 11 00 00 00 1F 0F 00 00 53 62 88 0B 45 01 23 05 D5 B3 05 00,,FFF0,11 00 00 00 1F 0F 00 00 53 62 88 0B 45 01 23 05 D5 B3 05 00,0x0011
old/hci_snoop_2018_01_01_12_06_26.cfa,1776,2018-01-01T12:08:04.670Z,f4:d0:00:00:02:1a,no,ADV_IND,-72,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 B0 FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 B0 FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,1816,2018-01-01T12:08:05.190Z,f4:db:00:00:02:37,no,ADV_IND,-89,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 D6 0B 36 01 C4 04 80 73 05 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D6 0B 36 01 C4 04 80 73 05 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,1824,2018-01-01T12:08:05.516Z,f4:d0:00:00:02:1a,no,ADV_IND,-77,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 B1 FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 B1 FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,1852,2018-01-01T12:08:06.857Z,62:53:00:00:0f:1f,no,ADV_IND,-77,02 01 06 03 02 F0 FF 15 FF 11 00 00 00 1F 0F 00 00 53 62 87 0B 45 01 23 05 D8 B3 05 00,,FFF0,11 00 00 00 1F 0F 00 00 53 62 87 0B 45 01 23 05 D8 B3 05 00,0x0011
old/hci_snoop_2018_01_01_12_06_26.cfa,1872,2018-01-01T12:08:08.057Z,f4:d0:00:00:02:1a,no,ADV_IND,-68,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 B3 FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 B3 FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,1881,2018-01-01T12:08:08.545Z,62:53:00:00:0f:1f,no,ADV_IND,-79,02 01 06 03 02 F0 FF 15 FF 11 00 00 00 1F 0F 00 00 53 62 88 0B 45 01 23 05 D9 B3 05 00,,FFF0,11 00 00 00 1F 0F 00 00 53 62 88 0B 45 01 23 05 D9 B3 05 00,0x0011
