Name,Adresse,RSSI (dBm),System ID (2A23),Model Number (2A24),Serial Number (2A25),Firmware Revision (2A26),Hardware Revision (2A27),Software Revision (2A28),Manufacturer Name (2A29),Fehler
ThermoBeacon,AC1284E0-8299-2366-EEF0-8C048CA6BF54,,37 02 00 00 00 00 DB F4,Model Number,Serial Number,Firmware Revision,Hardware Revision,Software Revision,Manufacturer Name,
ThermoBeacon,32F09FB8-A85C-3A1A-AD56-B51608C7416D,,1F 0F 00 00 00 00 53 62,Model Number,Serial Number,Firmware Revision,Hardware Revision,Software Revision,Manufacturer Name,
